School Name,Type,Budget,Size,Student Name,Grade,Math Score,Reading Score
Figueroa High School,District,1884411,2949,Samantha Thompson,11th,93,96
Figueroa High School,District,1884411,2949,Jesse Miller,10th,89,99
Figueroa High School,District,1884411,2949,Melissa Aguilar,11th,67,85
Figueroa High School,District,1884411,2949,Megan Olson,10th,55,71
Figueroa High School,District,1884411,2949,Nicole Tucker,12th,91,95
Figueroa High School,District,1884411,2949,Amber Clarke,11th,95,77
Figueroa High School,District,1884411,2949,Steven Swanson,10th,95,90
Figueroa High School,District,1884411,2949,Michael Lyons,11th,83,72
Figueroa High School,District,1884411,2949,Joseph Bates,10th,80,71
Figueroa High School,District,1884411,2949,William Ramirez,9th,66,80
Figueroa High School,District,1884411,2949,Sylvia Harris,12th,68,81
Figueroa High School,District,1884411,2949,David Osborne,10th,63,77
Figueroa High School,District,1884411,2949,Amanda Koch,12th,73,68
Figueroa High School,District,1884411,2949,Melvin Farrell,10th,86,63
Figueroa High School,District,1884411,2949,Sheryl Castro,12th,55,82
Figueroa High School,District,1884411,2949,Patrick Wallace,9th,58,69
Figueroa High School,District,1884411,2949,Jesus Jennings,12th,74,98
Figueroa High School,District,1884411,2949,Omar Reynolds,11th,62,87
Figueroa High School,District,1884411,2949,Douglas Davis,10th,86,70
Figueroa High School,District,1884411,2949,Henry Burns,12th,62,67
Figueroa High School,District,1884411,2949,Deborah Huffman DDS,9th,55,70
Figueroa High School,District,1884411,2949,Peter Coleman,9th,55,81
Figueroa High School,District,1884411,2949,Cory Mitchell,11th,86,79
Figueroa High School,District,1884411,2949,Sandra White,11th,96,99
Figueroa High School,District,1884411,2949,Zachary Hodge,9th,94,98
Figueroa High School,District,1884411,2949,Jaime Kane,11th,88,91
Figueroa High School,District,1884411,2949,Ronald Torres Jr.,12th,78,85
Figueroa High School,District,1884411,2949,Andrew Flynn,11th,83,80
Figueroa High School,District,1884411,2949,Shawn Ramsey,11th,81,91
Figueroa High School,District,1884411,2949,Michael Garcia,11th,85,68
Figueroa High School,District,1884411,2949,Robert Walters,12th,84,96
Figueroa High School,District,1884411,2949,Erin Johnson,10th,76,63
Figueroa High School,District,1884411,2949,Tiffany Hayes,11th,98,75
Figueroa High School,District,1884411,2949,Timothy Wolfe,11th,96,82
Figueroa High School,District,1884411,2949,Ashley Moore,9th,97,80
Figueroa High School,District,1884411,2949,Brittany Brown,11th,82,74
Figueroa High School,District,1884411,2949,Karen Watson,9th,80,80
Figueroa High School,District,1884411,2949,Jessica Greene,9th,67,69
Figueroa High School,District,1884411,2949,Denise Weiss,11th,95,66
Figueroa High School,District,1884411,2949,Brandon Moore,12th,90,66
Figueroa High School,District,1884411,2949,Briana Mitchell,11th,87,77
Figueroa High School,District,1884411,2949,Amanda Li,11th,82,70
Figueroa High School,District,1884411,2949,Paul Swanson,11th,77,77
Figueroa High School,District,1884411,2949,Susan Clark,10th,95,66
Figueroa High School,District,1884411,2949,Morgan Cobb,10th,95,85
Figueroa High School,District,1884411,2949,John Vance,11th,71,68
Figueroa High School,District,1884411,2949,Eric Jones,9th,64,64
Figueroa High School,District,1884411,2949,Anthony Beard,9th,63,96
Figueroa High School,District,1884411,2949,Tyler Brown,12th,97,68
Figueroa High School,District,1884411,2949,Daniel Moss,10th,68,76
Figueroa High School,District,1884411,2949,John West,10th,82,94
Figueroa High School,District,1884411,2949,Amanda Rios,10th,58,99
Figueroa High School,District,1884411,2949,Emily Evans,9th,63,98
Figueroa High School,District,1884411,2949,Jessica Hardy,10th,74,94
Figueroa High School,District,1884411,2949,Marc Rosales,12th,63,78
Figueroa High School,District,1884411,2949,Leslie Grimes,10th,86,69
Figueroa High School,District,1884411,2949,Dorothy Hansen,9th,58,95
Figueroa High School,District,1884411,2949,Sherri Murphy,9th,74,74
Figueroa High School,District,1884411,2949,Kristin Kelly,11th,63,74
Figueroa High School,District,1884411,2949,Stephanie Dunlap,10th,93,88
Figueroa High School,District,1884411,2949,Margaret Burgess,9th,68,78
Figueroa High School,District,1884411,2949,Christina Wilson,11th,63,88
Figueroa High School,District,1884411,2949,Anna Nguyen,11th,61,88
Figueroa High School,District,1884411,2949,Christopher Murray,9th,64,65
Figueroa High School,District,1884411,2949,Christopher Garcia,10th,57,97
Figueroa High School,District,1884411,2949,Michael Wood,9th,99,92
Figueroa High School,District,1884411,2949,Seth Howard,10th,94,86
Figueroa High School,District,1884411,2949,Robert Neal,9th,88,91
Figueroa High School,District,1884411,2949,Douglas Rangel,11th,67,91
Figueroa High School,District,1884411,2949,Emma Wright,11th,69,71
Figueroa High School,District,1884411,2949,Mr. Oscar Bautista,10th,56,98
Figueroa High School,District,1884411,2949,Margaret Garner,10th,95,85
Figueroa High School,District,1884411,2949,Brent Pearson,10th,91,75
Figueroa High School,District,1884411,2949,John Hudson,12th,87,69
Figueroa High School,District,1884411,2949,Gregory Thompson,11th,68,74
Figueroa High School,District,1884411,2949,Ralph Kelly,9th,55,93
Figueroa High School,District,1884411,2949,Sarah Scott,9th,94,87
Figueroa High School,District,1884411,2949,Heather Turner,11th,94,63
Figueroa High School,District,1884411,2949,Roy Page,11th,85,99
Figueroa High School,District,1884411,2949,Courtney Boyer,10th,73,92
Figueroa High School,District,1884411,2949,Sarah Camacho,11th,58,63
Figueroa High School,District,1884411,2949,Ellen Mcgee MD,12th,82,81
Figueroa High School,District,1884411,2949,Maurice Lee,11th,82,79
Figueroa High School,District,1884411,2949,Glenn Wood,10th,66,77
Figueroa High School,District,1884411,2949,Donald Becker,12th,85,85
Figueroa High School,District,1884411,2949,Michelle Roach,11th,92,71
Figueroa High School,District,1884411,2949,Dawn Hill,11th,94,67
Figueroa High School,District,1884411,2949,Ashley Stewart,12th,98,99
Figueroa High School,District,1884411,2949,Rebecca Ellis,12th,83,72
Figueroa High School,District,1884411,2949,Leroy Mayo,12th,90,94
Figueroa High School,District,1884411,2949,Cynthia Franklin,12th,80,87
Figueroa High School,District,1884411,2949,Max Gregory,12th,87,98
Figueroa High School,District,1884411,2949,Lance Moss,9th,57,82
Figueroa High School,District,1884411,2949,Franklin Schwartz,9th,75,81
Figueroa High School,District,1884411,2949,Carmen Johnson,12th,96,91
Figueroa High School,District,1884411,2949,Angela Wolf,12th,89,81
Figueroa High School,District,1884411,2949,Monica Brown,11th,74,91
Figueroa High School,District,1884411,2949,Juan Griffith,9th,59,94
Figueroa High School,District,1884411,2949,Javier Francis,12th,63,64
Figueroa High School,District,1884411,2949,Jeffrey Rubio,12th,55,69
Figueroa High School,District,1884411,2949,Samantha Kim,10th,82,90
Figueroa High School,District,1884411,2949,Drew Anderson,9th,65,99
Figueroa High School,District,1884411,2949,Ryan Simpson,11th,57,79
Figueroa High School,District,1884411,2949,Raymond Torres,11th,98,80
Figueroa High School,District,1884411,2949,Alexis Dominguez,12th,61,87
Figueroa High School,District,1884411,2949,Jerry Fuentes,10th,75,78
Figueroa High School,District,1884411,2949,Debra Johnson,10th,60,86
Figueroa High School,District,1884411,2949,Jennifer Anderson,9th,89,80
Figueroa High School,District,1884411,2949,Eric Giles,9th,86,96
Figueroa High School,District,1884411,2949,Colleen Johnson,9th,78,79
Figueroa High School,District,1884411,2949,Allison Washington,10th,71,93
Figueroa High School,District,1884411,2949,Felicia Gamble,10th,62,83
Figueroa High School,District,1884411,2949,Stephanie Vaughn,9th,83,73
Figueroa High School,District,1884411,2949,James Warner,10th,87,73
Figueroa High School,District,1884411,2949,Amanda Gill,10th,98,64
Figueroa High School,District,1884411,2949,Debra Barrett,10th,77,67
Figueroa High School,District,1884411,2949,Valerie Stone,10th,81,65
Figueroa High School,District,1884411,2949,Shawn Harris,9th,70,70
Figueroa High School,District,1884411,2949,Candace Garcia,12th,95,74
Figueroa High School,District,1884411,2949,Michael Thomas,12th,55,66
Figueroa High School,District,1884411,2949,Daniel Gilbert,10th,61,67
Figueroa High School,District,1884411,2949,Brandy Hoffman,12th,60,92
Figueroa High School,District,1884411,2949,Bryan Lopez,10th,77,93
Figueroa High School,District,1884411,2949,Clayton Coleman,9th,80,93
Figueroa High School,District,1884411,2949,Nicholas Jones,11th,95,78
Figueroa High School,District,1884411,2949,Joseph Maxwell,12th,96,69
Figueroa High School,District,1884411,2949,Sierra Smith,9th,97,86
Figueroa High School,District,1884411,2949,Penny Johnston,10th,91,78
Figueroa High School,District,1884411,2949,Jessica Reed,10th,57,99
Figueroa High School,District,1884411,2949,James Mason,10th,57,87
Figueroa High School,District,1884411,2949,Gregory Lester,12th,65,92
Figueroa High School,District,1884411,2949,Dana Wood,11th,88,67
Figueroa High School,District,1884411,2949,Jonathan Gibson,11th,79,69
Figueroa High School,District,1884411,2949,Fred Turner,9th,59,80
Figueroa High School,District,1884411,2949,Tyler Harrison,10th,94,97
Figueroa High School,District,1884411,2949,Kevin Jackson,11th,99,92
Figueroa High School,District,1884411,2949,Teresa Morgan,12th,64,86
Figueroa High School,District,1884411,2949,Jonathan Collier,12th,56,67
Figueroa High School,District,1884411,2949,Ian Thompson,9th,92,80
Figueroa High School,District,1884411,2949,Alexandra Rodriguez,11th,55,99
Figueroa High School,District,1884411,2949,Valerie Jacobs,10th,77,63
Figueroa High School,District,1884411,2949,Jeff Warren,11th,88,95
Figueroa High School,District,1884411,2949,Emily Andrews MD,11th,69,98
Figueroa High School,District,1884411,2949,Jessica Gonzalez,9th,57,82
Figueroa High School,District,1884411,2949,Cassandra Perez,10th,77,84
Figueroa High School,District,1884411,2949,Ryan Lee,11th,81,93
Figueroa High School,District,1884411,2949,Sabrina Navarro,11th,61,71
Figueroa High School,District,1884411,2949,Debbie Campbell,9th,83,95
Figueroa High School,District,1884411,2949,Janet Martin,9th,67,91
Figueroa High School,District,1884411,2949,Heather Allen,10th,61,92
Figueroa High School,District,1884411,2949,Melissa Beck,12th,70,96
Figueroa High School,District,1884411,2949,Shelby Boyer,9th,62,79
Figueroa High School,District,1884411,2949,Katrina Dalton,12th,57,95
Figueroa High School,District,1884411,2949,Samantha Ewing,12th,65,93
Figueroa High School,District,1884411,2949,Angela Murray,11th,57,87
Figueroa High School,District,1884411,2949,Lisa Smith,9th,64,90
Figueroa High School,District,1884411,2949,James Khan,10th,85,70
Figueroa High School,District,1884411,2949,Diana Martinez,12th,97,83
Figueroa High School,District,1884411,2949,Richard Williams PhD,9th,56,81
Figueroa High School,District,1884411,2949,Terri Smith,12th,79,78
Figueroa High School,District,1884411,2949,Olivia Rogers,12th,66,67
Figueroa High School,District,1884411,2949,Kelly Smith,9th,88,99
Figueroa High School,District,1884411,2949,Raymond Reed,9th,67,73
Figueroa High School,District,1884411,2949,Nicholas Ray,11th,56,87
Figueroa High School,District,1884411,2949,Karen Willis,9th,94,64
Figueroa High School,District,1884411,2949,Aaron Kelly,9th,85,82
Figueroa High School,District,1884411,2949,Jenna Jones,9th,73,90
Figueroa High School,District,1884411,2949,Linda Kelly,10th,67,66
Figueroa High School,District,1884411,2949,Danielle Hernandez,9th,87,94
Figueroa High School,District,1884411,2949,Joshua Phillips,10th,62,80
Figueroa High School,District,1884411,2949,Sheila Frank,9th,68,63
Figueroa High School,District,1884411,2949,Gary Martinez,10th,55,91
Figueroa High School,District,1884411,2949,Andrew Erickson,12th,58,78
Figueroa High School,District,1884411,2949,Mark Bell,11th,69,73
Figueroa High School,District,1884411,2949,Cindy Martinez,11th,70,90
Figueroa High School,District,1884411,2949,Bernard Farrell,12th,83,77
Figueroa High School,District,1884411,2949,Brian Wilson,10th,75,81
Figueroa High School,District,1884411,2949,Louis Johnston,12th,94,64
Figueroa High School,District,1884411,2949,Mr. Michael Baker PhD,9th,89,97
Figueroa High School,District,1884411,2949,Dr. Robert Taylor,11th,79,73
Figueroa High School,District,1884411,2949,Timothy Koch,9th,91,72
Figueroa High School,District,1884411,2949,Angela Fields,9th,55,66
Figueroa High School,District,1884411,2949,Amy Green,10th,61,98
Figueroa High School,District,1884411,2949,Erik Martin,11th,66,85
Figueroa High School,District,1884411,2949,Anthony Curry,12th,57,68
Figueroa High School,District,1884411,2949,Paul Jones,10th,70,69
Figueroa High School,District,1884411,2949,Shawn Robinson,11th,71,82
Figueroa High School,District,1884411,2949,Jimmy Foley,10th,94,93
Figueroa High School,District,1884411,2949,Jerry Baker,11th,61,83
Figueroa High School,District,1884411,2949,Karina Allen,10th,93,67
Figueroa High School,District,1884411,2949,Stephanie Hurst,9th,83,89
Figueroa High School,District,1884411,2949,Justin Mitchell,10th,81,94
Figueroa High School,District,1884411,2949,Kimberly Hansen,9th,58,75
Figueroa High School,District,1884411,2949,Jorge Ramirez,12th,85,73
Figueroa High School,District,1884411,2949,Joshua Moreno,11th,70,66
Figueroa High School,District,1884411,2949,Alexis Hubbard,9th,80,70
Figueroa High School,District,1884411,2949,Paul Larson,10th,56,77
Figueroa High School,District,1884411,2949,Laura Cobb,10th,67,72
Figueroa High School,District,1884411,2949,Shirley Wagner,12th,80,76
Figueroa High School,District,1884411,2949,Christina Valenzuela,12th,98,78
Figueroa High School,District,1884411,2949,Grace Taylor,9th,84,73
Figueroa High School,District,1884411,2949,Nancy Wolfe,12th,68,65
Figueroa High School,District,1884411,2949,Cassandra Schmidt,9th,63,95
Figueroa High School,District,1884411,2949,James Bowman,12th,67,92
Figueroa High School,District,1884411,2949,John Hill,12th,83,88
Figueroa High School,District,1884411,2949,Johnny Russell,9th,74,92
Figueroa High School,District,1884411,2949,David Estes,11th,58,73
Figueroa High School,District,1884411,2949,Julia Lewis,11th,72,95
Figueroa High School,District,1884411,2949,David Burnett,12th,64,67
Figueroa High School,District,1884411,2949,Kim Phillips,11th,55,88
Figueroa High School,District,1884411,2949,Cameron Thornton,9th,72,95
Figueroa High School,District,1884411,2949,Jeffrey Elliott,9th,93,79
Figueroa High School,District,1884411,2949,Tiffany Huber,12th,98,77
Figueroa High School,District,1884411,2949,Audrey Berry,10th,95,87
Figueroa High School,District,1884411,2949,Kevin Stevens,9th,81,91
Figueroa High School,District,1884411,2949,Matthew Le,9th,92,92
Figueroa High School,District,1884411,2949,Ronald Guerra,9th,79,96
Figueroa High School,District,1884411,2949,Jonathan Miller,9th,91,94
Figueroa High School,District,1884411,2949,Brian Vasquez,11th,80,77
Figueroa High School,District,1884411,2949,Penny Franco,9th,73,89
Figueroa High School,District,1884411,2949,Lori Gray,11th,78,79
Figueroa High School,District,1884411,2949,Jennifer Hawkins,10th,89,92
Figueroa High School,District,1884411,2949,Patricia Wilson,11th,63,71
Figueroa High School,District,1884411,2949,April Newman,9th,61,73
Figueroa High School,District,1884411,2949,Ryan Taylor,12th,91,91
Figueroa High School,District,1884411,2949,Joshua Patterson,12th,79,67
Figueroa High School,District,1884411,2949,Tommy Michael,9th,72,97
Figueroa High School,District,1884411,2949,Christopher Sharp,12th,57,98
Figueroa High School,District,1884411,2949,Christina Whitney,11th,67,75
Figueroa High School,District,1884411,2949,Stacey Walker,10th,64,66
Figueroa High School,District,1884411,2949,Bobby Fox,11th,97,66
Figueroa High School,District,1884411,2949,Donald Flynn,11th,84,71
Figueroa High School,District,1884411,2949,Michael Chan,12th,81,68
Figueroa High School,District,1884411,2949,Erin Porter,12th,80,68
Figueroa High School,District,1884411,2949,Michael Woodard,11th,78,67
Figueroa High School,District,1884411,2949,Kathleen Tapia,11th,82,87
Figueroa High School,District,1884411,2949,Kevin Cox,11th,94,99
Figueroa High School,District,1884411,2949,Michelle Smith,12th,58,83
Figueroa High School,District,1884411,2949,Michael Brady,9th,89,91
Figueroa High School,District,1884411,2949,Emily Ford,9th,93,70
Figueroa High School,District,1884411,2949,Lisa Cain,11th,62,92
Figueroa High School,District,1884411,2949,Carol Mason,11th,81,95
Figueroa High School,District,1884411,2949,Melissa Graham,10th,67,99
Figueroa High School,District,1884411,2949,Vanessa Haley,9th,81,90
Figueroa High School,District,1884411,2949,Jessica Becker,10th,83,70
Figueroa High School,District,1884411,2949,Cody Reilly,11th,94,74
Figueroa High School,District,1884411,2949,Tracy Walker,10th,83,64
Figueroa High School,District,1884411,2949,Jamie Hoover,9th,84,73
Figueroa High School,District,1884411,2949,Shelia Boyd,9th,92,85
Figueroa High School,District,1884411,2949,Jennifer Alvarez,12th,73,88
Figueroa High School,District,1884411,2949,Brittany Mendez,11th,69,94
Figueroa High School,District,1884411,2949,Amber Gardner,10th,63,92
Figueroa High School,District,1884411,2949,Stephanie Trevino,11th,57,98
Figueroa High School,District,1884411,2949,Ricky Brown,10th,84,76
Figueroa High School,District,1884411,2949,Kenneth Smith,9th,75,84
Figueroa High School,District,1884411,2949,Joseph Kim,12th,94,66
Figueroa High School,District,1884411,2949,Scott Ford,10th,85,67
Figueroa High School,District,1884411,2949,Joshua Cordova,9th,72,70
Figueroa High School,District,1884411,2949,Jose Larson,9th,86,85
Figueroa High School,District,1884411,2949,Ronnie Le,10th,92,88
Figueroa High School,District,1884411,2949,Keith Hicks,9th,97,83
Figueroa High School,District,1884411,2949,Wayne Brown,11th,70,96
Figueroa High School,District,1884411,2949,Melvin Leon,10th,92,70
Figueroa High School,District,1884411,2949,Traci Obrien DDS,10th,92,68
Figueroa High School,District,1884411,2949,Martin Lee,9th,71,90
Figueroa High School,District,1884411,2949,Douglas Blake,9th,81,64
Figueroa High School,District,1884411,2949,Michele Freeman,12th,69,87
Figueroa High School,District,1884411,2949,Isaac Johnson,9th,67,90
Figueroa High School,District,1884411,2949,Charles Blevins,11th,78,83
Figueroa High School,District,1884411,2949,Brandy Suarez,9th,66,97
Figueroa High School,District,1884411,2949,Kyle Allen,10th,73,78
Figueroa High School,District,1884411,2949,Katrina Best,9th,61,96
Figueroa High School,District,1884411,2949,Ruth Cox,9th,82,80
Figueroa High School,District,1884411,2949,Melissa Stanley,11th,99,88
Figueroa High School,District,1884411,2949,Katelyn Diaz,11th,73,84
Figueroa High School,District,1884411,2949,Carol Brown,10th,84,96
Figueroa High School,District,1884411,2949,Edward Conway,12th,76,76
Figueroa High School,District,1884411,2949,Joshua Paul,9th,94,72
Figueroa High School,District,1884411,2949,Amanda Edwards,9th,75,80
Figueroa High School,District,1884411,2949,John Torres,9th,55,80
Figueroa High School,District,1884411,2949,Richard Roberts,10th,61,96
Figueroa High School,District,1884411,2949,Joseph Acevedo,9th,83,92
Figueroa High School,District,1884411,2949,Joseph Perez,12th,56,75
Figueroa High School,District,1884411,2949,Desiree Hayden,10th,97,90
Figueroa High School,District,1884411,2949,April Rogers,11th,96,89
Figueroa High School,District,1884411,2949,John Snyder,12th,70,88
Figueroa High School,District,1884411,2949,Robert Harris MD,11th,69,87
Figueroa High School,District,1884411,2949,Daniel Cole,9th,97,72
Figueroa High School,District,1884411,2949,Bryan Garcia,10th,57,79
Figueroa High School,District,1884411,2949,Kathleen Price,11th,83,99
Figueroa High School,District,1884411,2949,Christopher Sloan,12th,83,91
Figueroa High School,District,1884411,2949,Christopher Green,9th,89,71
Figueroa High School,District,1884411,2949,Leslie Carson,11th,75,95
Figueroa High School,District,1884411,2949,Susan Brown,11th,98,67
Figueroa High School,District,1884411,2949,Amber Macias,11th,68,81
Figueroa High School,District,1884411,2949,Emily Skinner,9th,88,70
Figueroa High School,District,1884411,2949,Juan Cruz,12th,94,87
Figueroa High School,District,1884411,2949,Kimberly Romero,11th,91,80
Figueroa High School,District,1884411,2949,Andrew Pena,12th,72,87
Figueroa High School,District,1884411,2949,Jordan Schwartz,11th,79,87
Figueroa High School,District,1884411,2949,Nicole Bautista,11th,69,63
Figueroa High School,District,1884411,2949,Rachel Miller,9th,56,76
Figueroa High School,District,1884411,2949,Gary Martin,12th,84,92
Figueroa High School,District,1884411,2949,Dawn Rivera,10th,60,90
Figueroa High School,District,1884411,2949,Frederick Edwards,9th,93,83
Figueroa High School,District,1884411,2949,Eric Green,11th,65,79
Figueroa High School,District,1884411,2949,William Wright,9th,88,75
Figueroa High School,District,1884411,2949,Jennifer Salinas,9th,56,71
Figueroa High School,District,1884411,2949,Benjamin Irwin,11th,65,99
Figueroa High School,District,1884411,2949,Alfred Durham,9th,73,85
Figueroa High School,District,1884411,2949,Kyle Pearson,9th,95,69
Figueroa High School,District,1884411,2949,Calvin Burke,10th,75,69
Figueroa High School,District,1884411,2949,Aaron Mccarthy,10th,90,70
Figueroa High School,District,1884411,2949,Angela Higgins,12th,74,80
Figueroa High School,District,1884411,2949,William Peterson,10th,65,95
Figueroa High School,District,1884411,2949,Randall Martin,10th,72,71
Figueroa High School,District,1884411,2949,Carol Chambers,11th,60,81
Figueroa High School,District,1884411,2949,Carla Tucker,10th,75,71
Figueroa High School,District,1884411,2949,Tonya Hernandez,12th,81,92
Figueroa High School,District,1884411,2949,Elizabeth Myers,9th,79,70
Figueroa High School,District,1884411,2949,Robert Norman,10th,76,90
Figueroa High School,District,1884411,2949,John Wilson,11th,55,81
Figueroa High School,District,1884411,2949,Stephen Collins,10th,56,92
Figueroa High School,District,1884411,2949,Jessica Johnson,9th,64,83
Figueroa High School,District,1884411,2949,Samantha Donaldson,10th,97,99
Figueroa High School,District,1884411,2949,Zachary Torres,11th,79,66
Figueroa High School,District,1884411,2949,Joanne Robinson,10th,83,90
Figueroa High School,District,1884411,2949,Adrian Collins,11th,75,90
Figueroa High School,District,1884411,2949,Jeremiah Esparza,10th,83,70
Figueroa High School,District,1884411,2949,Jason Mckinney,9th,57,75
Figueroa High School,District,1884411,2949,Joy Barnes,10th,88,83
Figueroa High School,District,1884411,2949,Kathleen Caldwell,9th,88,81
Figueroa High School,District,1884411,2949,Lisa Cox,10th,79,65
Figueroa High School,District,1884411,2949,Patricia Griffin,12th,71,96
Figueroa High School,District,1884411,2949,Lisa Gonzales,11th,67,94
Figueroa High School,District,1884411,2949,Lisa Dickson,10th,63,81
Figueroa High School,District,1884411,2949,Tony Casey,10th,89,78
Figueroa High School,District,1884411,2949,Elizabeth Bailey,11th,98,99
Figueroa High School,District,1884411,2949,Richard Mathews,10th,69,80
Figueroa High School,District,1884411,2949,Kelly Morales,11th,67,96
Figueroa High School,District,1884411,2949,John Davis,12th,66,76
Figueroa High School,District,1884411,2949,Erika Acevedo,9th,61,71
Figueroa High School,District,1884411,2949,Mary Brennan,12th,63,91
Figueroa High School,District,1884411,2949,Julie Smith,10th,71,98
Figueroa High School,District,1884411,2949,Diane Davis,12th,93,94
Figueroa High School,District,1884411,2949,Aaron Gallegos,11th,70,64
Figueroa High School,District,1884411,2949,Thomas Gray,11th,72,94
Figueroa High School,District,1884411,2949,James Morris,9th,59,86
Figueroa High School,District,1884411,2949,Joy Buckley,9th,59,81
Figueroa High School,District,1884411,2949,Troy Anderson,9th,70,94
Figueroa High School,District,1884411,2949,James Bailey,11th,94,83
Figueroa High School,District,1884411,2949,Jamie Branch,12th,76,69
Figueroa High School,District,1884411,2949,Robert Bowers,12th,78,80
Figueroa High School,District,1884411,2949,Rhonda Harrison,11th,73,87
Figueroa High School,District,1884411,2949,Michele York,12th,79,78
Figueroa High School,District,1884411,2949,Joshua Simpson,9th,98,78
Figueroa High School,District,1884411,2949,Kari Williams,10th,95,70
Figueroa High School,District,1884411,2949,Jaime James,10th,91,76
Figueroa High School,District,1884411,2949,Richard Watts,12th,71,73
Figueroa High School,District,1884411,2949,Paul Cole,9th,70,95
Figueroa High School,District,1884411,2949,Trevor Wang,11th,72,98
Figueroa High School,District,1884411,2949,Jacob Williams,12th,99,68
Figueroa High School,District,1884411,2949,Aaron Gates,12th,84,81
Figueroa High School,District,1884411,2949,Rodney Lopez,9th,66,93
Figueroa High School,District,1884411,2949,Jenny Rodriguez,12th,84,85
Figueroa High School,District,1884411,2949,Elizabeth Vasquez,10th,80,75
Figueroa High School,District,1884411,2949,Patricia Morton,10th,98,97
Figueroa High School,District,1884411,2949,Autumn Kidd,12th,79,77
Figueroa High School,District,1884411,2949,Amanda Mcdonald,9th,71,66
Figueroa High School,District,1884411,2949,Kelly Rodriguez,10th,60,86
Figueroa High School,District,1884411,2949,Evelyn Frederick,9th,76,73
Figueroa High School,District,1884411,2949,Joy Bass,10th,95,93
Figueroa High School,District,1884411,2949,Nancy Jones,9th,79,74
Figueroa High School,District,1884411,2949,Chris Baldwin,11th,71,63
Figueroa High School,District,1884411,2949,Michael Allen,9th,73,76
Figueroa High School,District,1884411,2949,Wayne Luna,12th,59,93
Figueroa High School,District,1884411,2949,Mary Smith,9th,66,63
Figueroa High School,District,1884411,2949,Don Buchanan,12th,68,75
Figueroa High School,District,1884411,2949,James Massey,10th,74,78
Figueroa High School,District,1884411,2949,Taylor Jordan,9th,67,88
Figueroa High School,District,1884411,2949,Jonathan Kim,11th,60,96
Figueroa High School,District,1884411,2949,Dawn Watson,12th,56,98
Figueroa High School,District,1884411,2949,Caitlin White,12th,84,64
Figueroa High School,District,1884411,2949,Michael Davidson,11th,88,91
Figueroa High School,District,1884411,2949,Matthew Moreno,11th,79,77
Figueroa High School,District,1884411,2949,Dr. Diana Martin,9th,85,89
Figueroa High School,District,1884411,2949,Monica Nguyen,11th,71,63
Figueroa High School,District,1884411,2949,Stephen Palmer,10th,88,99
Figueroa High School,District,1884411,2949,Wendy Wallace,9th,98,82
Figueroa High School,District,1884411,2949,Megan Murphy,12th,87,76
Figueroa High School,District,1884411,2949,Donald Mckinney,10th,65,91
Figueroa High School,District,1884411,2949,Sonia Johnson,10th,59,98
Figueroa High School,District,1884411,2949,Logan Ward MD,9th,60,80
Figueroa High School,District,1884411,2949,Vincent Williams,9th,57,83
Figueroa High School,District,1884411,2949,Shawn Carter,11th,76,72
Figueroa High School,District,1884411,2949,Jason Thompson,9th,70,80
Figueroa High School,District,1884411,2949,Frank Hodges,12th,91,77
Figueroa High School,District,1884411,2949,Danny Sullivan,9th,60,77
Figueroa High School,District,1884411,2949,Jerry Bell,11th,68,67
Figueroa High School,District,1884411,2949,Gregory Sharp,12th,93,71
Figueroa High School,District,1884411,2949,Eddie Gilbert,11th,64,71
Figueroa High School,District,1884411,2949,Dean Cooper,11th,70,99
Figueroa High School,District,1884411,2949,Joshua Sharp,9th,65,92
Figueroa High School,District,1884411,2949,Candace Vasquez,12th,57,70
Figueroa High School,District,1884411,2949,Mrs. Janice Dixon,12th,62,73
Figueroa High School,District,1884411,2949,Laura Pham,10th,91,75
Figueroa High School,District,1884411,2949,Gregory Bentley,11th,69,65
Figueroa High School,District,1884411,2949,Lauren Allen,10th,86,82
Figueroa High School,District,1884411,2949,Danielle Williams,11th,64,98
Figueroa High School,District,1884411,2949,David Johnson,10th,95,69
Figueroa High School,District,1884411,2949,Nancy Holt,12th,71,75
Figueroa High School,District,1884411,2949,Robert Luna,9th,76,85
Figueroa High School,District,1884411,2949,Denise Mcconnell,12th,71,95
Figueroa High School,District,1884411,2949,Gabriel Smith III,9th,56,92
Figueroa High School,District,1884411,2949,Christopher Adams,11th,64,80
Figueroa High School,District,1884411,2949,Matthew Sanchez,11th,92,93
Figueroa High School,District,1884411,2949,Linda Duran DVM,11th,94,94
Figueroa High School,District,1884411,2949,Mary Stewart,9th,94,96
Figueroa High School,District,1884411,2949,Amber Edwards,11th,89,83
Figueroa High School,District,1884411,2949,Craig Rodriguez,11th,64,78
Figueroa High School,District,1884411,2949,Seth Martin,9th,70,68
Figueroa High School,District,1884411,2949,Jacob Briggs,9th,56,96
Figueroa High School,District,1884411,2949,Christopher Fuentes,11th,63,64
Figueroa High School,District,1884411,2949,Jacob Barry,12th,68,72
Figueroa High School,District,1884411,2949,Amy Miller,12th,74,90
Figueroa High School,District,1884411,2949,Ronald Mayer PhD,9th,78,85
Figueroa High School,District,1884411,2949,Sarah Davis,11th,74,93
Figueroa High School,District,1884411,2949,Lori Brown,12th,58,87
Figueroa High School,District,1884411,2949,Christopher Washington,9th,69,88
Figueroa High School,District,1884411,2949,Morgan Duke,12th,98,88
Figueroa High School,District,1884411,2949,Donald Mendoza,9th,88,90
